GEO.id	GEOID10	GEO.display-label	population	collision
1500000US370810157053	3.7081E+11	"Block Group 3, Census Tract 157.05, Guilford County, North Carolina"	895	622
1500000US370810157061	3.7081E+11	"Block Group 1, Census Tract 157.06, Guilford County, North Carolina"	4192	0
1500000US370810157062	3.7081E+11	"Block Group 2, Census Tract 157.06, Guilford County, North Carolina"	1586	0
1500000US370810157071	3.7081E+11	"Block Group 1, Census Tract 157.07, Guilford County, North Carolina"	2761	4
1500000US370810157072	3.7081E+11	"Block Group 2, Census Tract 157.07, Guilford County, North Carolina"	1305	0
1500000US370810157073	3.7081E+11	"Block Group 3, Census Tract 157.07, Guilford County, North Carolina"	2377	64
1500000US370810158001	3.7081E+11	"Block Group 1, Census Tract 158, Guilford County, North Carolina"	4272	119
1500000US370810158002	3.7081E+11	"Block Group 2, Census Tract 158, Guilford County, North Carolina"	1242	81
1500000US370810158003	3.7081E+11	"Block Group 3, Census Tract 158, Guilford County, North Carolina"	2839	61
1500000US370810159011	3.7081E+11	"Block Group 1, Census Tract 159.01, Guilford County, North Carolina"	3389	64
1500000US370810159012	3.7081E+11	"Block Group 2, Census Tract 159.01, Guilford County, North Carolina"	1991	0
1500000US370810159021	3.7081E+11	"Block Group 1, Census Tract 159.02, Guilford County, North Carolina"	3922	531
1500000US370810160031	3.7081E+11	"Block Group 1, Census Tract 160.03, Guilford County, North Carolina"	2971	0
1500000US370810160032	3.7081E+11	"Block Group 2, Census Tract 160.03, Guilford County, North Carolina"	1668	0
1500000US370810160051	3.7081E+11	"Block Group 1, Census Tract 160.05, Guilford County, North Carolina"	1867	0
1500000US370810160061	3.7081E+11	"Block Group 1, Census Tract 160.06, Guilford County, North Carolina"	1862	12
1500000US370810160062	3.7081E+11	"Block Group 2, Census Tract 160.06, Guilford County, North Carolina"	2603	294
1500000US370810160071	3.7081E+11	"Block Group 1, Census Tract 160.07, Guilford County, North Carolina"	2187	32
1500000US370810160072	3.7081E+11	"Block Group 2, Census Tract 160.07, Guilford County, North Carolina"	1788	144
1500000US370810160073	3.7081E+11	"Block Group 3, Census Tract 160.07, Guilford County, North Carolina"	1049	246
1500000US370810160081	3.7081E+11	"Block Group 1, Census Tract 160.08, Guilford County, North Carolina"	2818	120
1500000US370810160082	3.7081E+11	"Block Group 2, Census Tract 160.08, Guilford County, North Carolina"	3400	305
1500000US370810160083	3.7081E+11	"Block Group 3, Census Tract 160.08, Guilford County, North Carolina"	1022	98
1500000US370810160091	3.7081E+11	"Block Group 1, Census Tract 160.09, Guilford County, North Carolina"	2061	85
1500000US370810160092	3.7081E+11	"Block Group 2, Census Tract 160.09, Guilford County, North Carolina"	1758	321
1500000US370810160101	3.7081E+11	"Block Group 1, Census Tract 160.10, Guilford County, North Carolina"	1472	88
1500000US370810160102	3.7081E+11	"Block Group 2, Census Tract 160.10, Guilford County, North Carolina"	1278	292
1500000US370810160111	3.7081E+11	"Block Group 1, Census Tract 160.11, Guilford County, North Carolina"	1982	128
1500000US370810160112	3.7081E+11	"Block Group 2, Census Tract 160.11, Guilford County, North Carolina"	928	91
1500000US370810160113	3.7081E+11	"Block Group 3, Census Tract 160.11, Guilford County, North Carolina"	1950	219
1500000US370810160114	3.7081E+11	"Block Group 4, Census Tract 160.11, Guilford County, North Carolina"	1313	455
1500000US370810161011	3.7081E+11	"Block Group 1, Census Tract 161.01, Guilford County, North Carolina"	2760	74
1500000US370810161012	3.7081E+11	"Block Group 2, Census Tract 161.01, Guilford County, North Carolina"	2158	705
1500000US370810161021	3.7081E+11	"Block Group 1, Census Tract 161.02, Guilford County, North Carolina"	1658	158
1500000US370810161022	3.7081E+11	"Block Group 2, Census Tract 161.02, Guilford County, North Carolina"	1443	139
1500000US370810161023	3.7081E+11	"Block Group 3, Census Tract 161.02, Guilford County, North Carolina"	1368	220
1500000US370810161031	3.7081E+11	"Block Group 1, Census Tract 161.03, Guilford County, North Carolina"	2235	220
1500000US370810161032	3.7081E+11	"Block Group 2, Census Tract 161.03, Guilford County, North Carolina"	1755	168
1500000US370810161033	3.7081E+11	"Block Group 3, Census Tract 161.03, Guilford County, North Carolina"	1319	0
1500000US370810162011	3.7081E+11	"Block Group 1, Census Tract 162.01, Guilford County, North Carolina"	3826	0
1500000US370810162012	3.7081E+11	"Block Group 2, Census Tract 162.01, Guilford County, North Carolina"	2362	0
1500000US370810162031	3.7081E+11	"Block Group 1, Census Tract 162.03, Guilford County, North Carolina"	4429	0
1500000US370810162041	3.7081E+11	"Block Group 1, Census Tract 162.04, Guilford County, North Carolina"	3798	0
1500000US370810162051	3.7081E+11	"Block Group 1, Census Tract 162.05, Guilford County, North Carolina"	4061	0
